assessid,stockid,mgmt,assessor,country,region,area,area_code,stocklong,species,comm_name1,comm_name2,shp_source,shp_path,zone_col,zones,notes
ABARES-BGRDRSE-1960-2011-CHING,BGRDRSE,AFMA,ABARES,Australia,Australia,Southeast Australia,SE,Blue Grenadier Southeast Australia,Macruronus novaezelandiae,Hoki,New Zealand whiptail,Atlas of Living Australia,australia/ala/macruronus_novaezelandiae_dissolve.shp,NA,used all of southern Australia,
ADFG-HERRPWS-1980-2006-COLLIE,HERRPWS,AKSTATE,ADFG,USA,US Alaska,Prince William Sound,PWS,Pacific herring Prince William Sound,Clupea pallasii,Pacific herring,NA,Digitized from stock assessment,usa/digitized/pacific_herring_pws_erase.shp,ZONE,already dissolved,
ADFG-HERRSITKA-1978-2007-COLLIE,HERRSITKA,AKSTATE,ADFG,USA,US Alaska,Sitka,SITKA,Pacific herring Sitka,Clupea pallasii,Pacific herring,NA,Digitized from stock assessment,usa/digitized/pacific_herring_sitka_erase.shp,ZONE,already dissolved,
ADFG-HERRTOG-1990-2010-HIVELY,HERRTOG,AKSTATE,ADFG,USA,US Alaska,Togiak District,TOG,Herring Togiak District,Clupea pallasii,Pacific herring,NA,Digitized from stock assessment,usa/digitized/pacific_herring_togiak_erase.shp,ZONE,already dissolved,
AFSC-ALPLAICBSAI-1972-2010-STACHURA,ALPLAICBSAI,NMFS,AFSC,USA,US Alaska,Bering Sea and Aleutian Islands,BSAI,Alaska plaice Bering Sea and Aleutian Islands,Pleuronectes quadrituberculatus,Alaska plaice,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,BSAI Groundfish.htm#PLAICE_AK,"All life stages, clipped to MEOW EBS/AI"
AFSC-ARFLOUNDBSAI-1970-2010-STACHURA,ARFLOUNDBSAI,NMFS,AFSC,USA,US Alaska,Bering Sea and Aleutian Islands,BSAI,Arrowtooth flounder Bering Sea and Aleutian Islands,Reinhardtius stomias,Arrowtooth flounder,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,BSAI Groundfish.htm#FLOUND_AT,"All life stages, clipped to MEOW EBS/AI"
AFSC-ARFLOUNDGA-1958-2010-STACHURA,ARFLOUNDGA,NMFS,AFSC,USA,US Alaska,Gulf of Alaska,GA,Arrowtooth flounder Gulf of Alaska,Atheresthes stomias,NA,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,GOA Groundfish.htm#FLOUND_AT,"All life stages, clipped to MEOW GOA"
AFSC-ATKABSAI-1976-2011-STACHURA,ATKABSAI,NMFS,AFSC,USA,US Alaska,Bering Sea and Aleutian Islands,BSAI,Atka mackerel Bering Sea and Aleutian Islands,Pleurogrammus monopterygius,Atka mackerel,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,BSAI Groundfish.htm#MACK_ATKA,"All life stages, clipped to MEOW EBS/AI"
AFSC-BKINGCRABPI-1960-2008-JENSEN,BKINGCRABPI,NMFS,AFSC,USA,US Alaska,Pribilof Islands,PI,Blue king crab Pribilof Islands,Paralithodes platypus,Blue king crab,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,BSAI Crab.htm#CRAB_KB,"All life stages, subset to Pribolof Island polygon (south-center EBS)"
AFSC-BKINGCRABSMI-1960-2008-JENSEN,BKINGCRABSMI,NMFS,AFSC,USA,US Alaska,Saint Matthews Island,SMI,Blue king crab Saint Matthews Island,Paralithodes platypus,Blue king crab,NA,AKRO Alaska EFH Species Shapefiles,usa/noaa_ak_efh/EFH_2005.shp,TEXTLINK,BSAI Crab.htm#CRAB_KB,"All life stages, subset to Pribolof Island polygon (west-center EBS)"
